"";"noise_weight";"ncomp";"RMSE";"R2";"Q2";"R2-Q2"
"1";0,5;2;2,33627210336581;0,75113429250496;0,619117516583831;0,132016775921129
"2";0,5;2;2,18945155242549;0,755160286210032;0,640636700739498;0,114523585470534
"3";0,5;2;2,08395631648396;0,798021162445374;0,705777125519525;0,0922440369258493
"4";0,5;2;2,50329901722372;0,687569019797943;0,503605337177726;0,183963682620216
"5";0,5;2;2,41281449143209;0,776920805155852;0,578538053102036;0,198382752053817
"6";0,5;2;2,1410546167344;0,774597679999788;0,680797359305205;0,0938003206945832
"7";0,5;2;2,47911889262187;0,736884331519602;0,592080998580028;0,144803332939574
"8";0,5;2;2,48084638915946;0,655102038778881;0,607177998290377;0,0479240404885036
"9";0,5;2;2,16509631476456;0,806888601610568;0,688970048740221;0,117918552870347
"10";0,5;2;2,187815502355;0,737784363062989;0,656084481856462;0,0816998812065276
"11";0,5;2;2,10867713590194;0,756940894134492;0,665425708453815;0,0915151856806775
"12";0,5;2;2,2910302122956;0,75645452115016;0,691000287656721;0,0654542334934387
"13";0,5;2;2,152006185117;0,771953747526139;0,650408739200997;0,121545008325142
"14";0,5;2;2,17367691714169;0,799702465265677;0,663823850213078;0,135878615052599
"15";0,5;2;2,10629380457524;0,780227116759579;0,698511427921291;0,0817156888382875
"16";0,5;2;2,25174117369391;0,791994569180249;0,630359146364979;0,16163542281527
"17";0,5;2;2,0708170005705;0,785807783378893;0,679126315343796;0,106681468035097
"18";0,5;2;2,3054621151334;0,720396241463875;0,617133829714649;0,103262411749227
"19";0,5;2;2,0853547628749;0,806959879345177;0,704654193195531;0,102305686149646
"20";0,5;2;2,18455088625667;0,803323645539725;0,63752648405833;0,165797161481395
"21";0,5;2;2,23842056390611;0,690748807297124;0,61237649464104;0,0783723126560845
"22";0,5;2;2,29274035771369;0,759349743073732;0,600053434532599;0,159296308541133
"23";0,5;2;2,37127214243995;0,778345964043137;0,647189566934413;0,131156397108724
